"","Estacao","Data","value"
"198","RD019",2019 set,9.03
"199","RD019",2019 out,6.73
"200","RD019",2019 nov,18.4
"201","RD019",2019 dez,147
"202","RD019",2020 jan,109
"203","RD019",2020 fev,285
"204","RD019",2020 mar,652
"205","RD019",2020 mai,30.9
"206","RD019",2020 jun,26.7
"207","RD019",2020 jul,17.3
"208","RD019",2020 ago,11.9
"209","RD019",2020 set,10.2
"210","RD019",2020 out,7.69
"211","RD019",2020 nov,30.1
"212","RD019",2020 dez,202
"213","RD019",2021 jan,219
"214","RD019",2021 fev,322
"215","RD019",2021 mar,115
"216","RD019",2021 abr,43.4
"217","RD019",2021 mai,16.6
"218","RD019",2021 jun,5.87
"219","RD019",2021 jul,7.33
"220","RD019",2021 ago,8.34
"221","RD019",2021 set,6.24
"222","RD019",2021 out,63.2
"223","RD019",2021 nov,635
"224","RD019",2021 dez,616
"225","RD019",2022 jan,249
"226","RD019",2022 fev,1248
"227","RD019",2022 mar,98.6
"228","RD019",2022 abr,85.5
"229","RD019",2022 mai,59.9
"230","RD019",2022 jun,27.9
"231","RD023",1997 set,20
"232","RD023",1997 nov,20
"233","RD023",1998 mar,180
"234","RD023",1998 ago,19.7
"235","RD023",1998 nov,107
"236","RD023",1999 mar,108
"237","RD023",1999 mai,15.2
"238","RD023",1999 ago,12.7
"239","RD023",1999 nov,155
"240","RD023",2000 fev,133
"241","RD023",2000 mai,37.3
"242","RD023",2000 ago,18.2
"243","RD023",2000 out,29.9
"244","RD023",2001 fev,62.2
"245","RD023",2001 mai,29
"246","RD023",2001 ago,8.08
"247","RD023",2001 out,96.1
"248","RD023",2002 fev,244
"249","RD023",2002 abr,44.7
"250","RD023",2002 ago,21.8
"251","RD023",2002 out,28.7
"252","RD023",2003 fev,84.6
"253","RD023",2003 mai,23.5
"254","RD023",2003 jul,20.2
"255","RD023",2003 out,15.3
"256","RD023",2004 jan,142
"257","RD023",2004 abr,101
"258","RD023",2004 jul,42.8
"259","RD023",2004 out,28.7
"260","RD023",2005 jan,310
"261","RD023",2005 abr,53.4
"262","RD023",2005 jul,19
"263","RD023",2005 out,16
"264","RD023",2006 jan,42.2
"265","RD023",2006 abr,16.2
"266","RD023",2006 jul,12.3
"267","RD023",2006 out,10.7
"268","RD023",2007 jan,178
"269","RD023",2007 abr,43.6
"270","RD023",2007 jul,19.6
"271","RD023",2007 out,14.7
"272","RD023",2008 jan,79.6
"273","RD023",2008 abr,62.4
"274","RD023",2008 jul,15.4
"275","RD023",2008 out,31
"276","RD023",2009 jan,69.9
"277","RD023",2009 abr,280
"278","RD023",2009 jul,25.5
"279","RD023",2009 out,45.3
"280","RD023",2010 jan,59
"281","RD023",2010 abr,49.7
"282","RD023",2010 jul,15
"283","RD023",2010 out,19
"284","RD023",2011 jan,157
"285","RD023",2011 abr,175
"286","RD023",2011 jul,21.2
"287","RD023",2011 out,6.95
"288","RD023",2012 jan,63.9
"289","RD023",2012 abr,69.7
"290","RD023",2012 jul,18.9
"291","RD023",2012 out,9.43
"292","RD023",2013 jan,94.3
"293","RD023",2013 abr,280
"294","RD023",2013 jun,23.4
"295","RD023",2013 jul,5.52
"296","RD023",2013 ago,8.44
"297","RD023",2013 set,9.98
"298","RD023",2013 out,8.1
"299","RD023",2013 nov,15.7
"300","RD023",2013 dez,78.9
"301","RD023",2014 jan,26.8
"302","RD023",2014 fev,7.66
"303","RD023",2014 mar,25.2
"304","RD023",2014 abr,13.1
"305","RD023",2014 mai,3.88
"306","RD023",2014 jun,4.04
"307","RD023",2014 jul,4.07
"308","RD023",2014 ago,2.56
"309","RD023",2014 set,2.5
"310","RD023",2014 out,7.7
"311","RD023",2014 nov,25.7
"312","RD023",2014 dez,73.5
"313","RD023",2015 jan,18.9
"314","RD023",2015 fev,25.7
"315","RD023",2015 mar,54.5
"316","RD023",2015 abr,23.1
"317","RD023",2015 mai,6.98
"318","RD023",2015 jun,5.05
"319","RD023",2015 jul,8.57
"320","RD023",2015 ago,2.24
"321","RD023",2015 set,12.2
"322","RD023",2015 out,3.32
"323","RD023",2015 dez,5444
"324","RD023",2016 jan,3198
"325","RD023",2016 mar,467
"326","RD023",2016 abr,234
