"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"122","RD059",2000-08-08,2000,10.4,2000 ago
"123","RD059",2000-11-01,2000,7.42,2000 nov
"124","RD059",2001-02-19,2001,32.3,2001 fev
"125","RD059",2001-05-10,2001,12.5,2001 mai
"126","RD059",2001-08-20,2001,9.16,2001 ago
"127","RD059",2001-10-29,2001,51,2001 out
"128","RD067",1998-03-25,1998,25,1998 mar
"129","RD067",1998-09-01,1998,4.8,1998 set
"130","RD067",1998-11-10,1998,88.7,1998 nov
"131","RD067",1999-03-30,1999,37.6,1999 mar
"132","RD067",1999-05-18,1999,16.4,1999 mai
"133","RD067",1999-08-24,1999,5.46,1999 ago
"134","RD067",1999-11-12,1999,349,1999 nov
"135","RD067",2000-02-22,2000,278,2000 fev
"136","RD067",2000-05-09,2000,57.5,2000 mai
"137","RD067",2000-08-08,2000,6.2,2000 ago
"138","RD067",2000-11-01,2000,4.7,2000 nov
"139","RD067",2001-02-19,2001,21.2,2001 fev
"140","RD067",2001-05-10,2001,13.7,2001 mai
"141","RD067",2001-08-20,2001,7.53,2001 ago
"142","RD067",2001-10-29,2001,41.1,2001 out
"143","RD019",2002-02-21,2002,294,2002 fev
"144","RD019",2002-04-25,2002,42.8,2002 abr
"145","RD019",2002-07-30,2002,25.1,2002 jul
"146","RD019",2002-10-22,2002,19.6,2002 out
"147","RD019",2003-02-13,2003,75.2,2003 fev
"148","RD019",2003-04-29,2003,17.2,2003 abr
"149","RD019",2003-07-22,2003,7.92,2003 jul
"150","RD019",2003-10-21,2003,14.7,2003 out
"151","RD019",2004-01-20,2004,171,2004 jan
"152","RD019",2004-04-27,2004,200,2004 abr
"153","RD019",2004-07-20,2004,25.8,2004 jul
"154","RD019",2004-10-19,2004,22.4,2004 out
"155","RD019",2005-01-18,2005,209,2005 jan
"156","RD019",2005-04-19,2005,34.6,2005 abr
"157","RD019",2005-07-12,2005,8.69,2005 jul
"158","RD019",2005-10-04,2005,31.7,2005 out
"159","RD019",2006-01-17,2006,31.1,2006 jan
"160","RD019",2006-04-18,2006,30.4,2006 abr
"161","RD019",2006-07-12,2006,10,2006 jul
"162","RD019",2006-10-04,2006,12.2,2006 out
"163","RD023",2002-02-25,2002,244,2002 fev
"164","RD023",2002-04-28,2002,44.7,2002 abr
"165","RD023",2002-08-01,2002,21.8,2002 ago
"166","RD023",2002-10-24,2002,28.7,2002 out
"167","RD023",2003-02-17,2003,84.6,2003 fev
"168","RD023",2003-05-02,2003,23.5,2003 mai
"169","RD023",2003-07-24,2003,20.2,2003 jul
"170","RD023",2003-10-23,2003,15.3,2003 out
"171","RD023",2004-01-22,2004,142,2004 jan
